index,path,label
0,Amicelli_25k.ply,single
1,BakingSoda_25k.ply,single
2,BakingVanilla_25k.ply,multi
3,BathDetergent_25k.ply,multi
4,BlueSaltCube_25k.ply,single
5,BroccoliSoup_25k.ply,single
6,Brush_25k.ply,multi
7,CatLying_25k.ply,multi
8,CatSitting_25k.ply,multi
9,CeylonTea_25k.ply,single
10,ChickenSoup_25k.ply,single
11,ChocMarshmallows_25k.ply,single
12,ChocSticks2_25k.ply,single
13,ChocSticks_25k.ply,single
14,ChocoIcing_25k.ply,multi
15,ChocolateBars_25k.ply,single
16,ChoppedTomatoes_25k.ply,single
17,CleaningCloths_25k.ply,multi
18,Clown_25k.ply,multi
19,CoffeeBox_25k.ply,single
20,CoffeeCookies_25k.ply,single
21,CoffeeFilters2_25k.ply,single
22,CoffeeFilters_25k.ply,single
23,CokePlasticLarge_25k.ply,multi
24,CokePlasticSmallGrasp_25k.ply,multi
25,CokePlasticSmall_25k.ply,multi
26,CondensedMilk_25k.ply,multi
27,CoughDropsBerries_25k.ply,single
28,CoughDropsHoney_25k.ply,single
29,CoughDropsLemon_25k.ply,single
30,Curry_25k.ply,single
31,DanishHam_25k.ply,single
32,Deodorant_25k.ply,multi
33,Dog_25k.ply,multi
34,DropsCherry_25k.ply,single
35,DropsOrange_25k.ply,single
36,Dwarf_25k.ply,multi
37,FennelTea_25k.ply,single
38,Fish_25k.ply,multi
39,FizzyTabletsCalcium_25k.ply,multi
40,FizzyTablets_25k.ply,multi
41,FlowerCup_25k.ply,special
42,FruitBars_25k.ply,single
43,FruitDrink_25k.ply,multi
44,FruitTea_25k.ply,single
45,Glassbowl_25k.ply,special
46,GreenCup_25k.ply,special
47,GreenSaltCylinder_25k.ply,single
48,HamburgerSauce_25k.ply,multi
49,Heart1_25k.ply,multi
50,HerbSalt_25k.ply,single
51,HeringTin_25k.ply,single
52,HotPot2_25k.ply,single
53,HotPot_25k.ply,single
54,HygieneSpray_25k.ply,multi
55,InstantDumplings_25k.ply,single
56,InstantIceCoffee_25k.ply,single
57,InstantMousse_25k.ply,single
58,InstantSauce2_25k.ply,single
59,InstantSauce_25k.ply,single
60,InstantSoup_25k.ply,special
61,InstantTomatoSoup_25k.ply,single
62,JamSugar_25k.ply,single
63,KnaeckebrotRye_25k.ply,single
64,Knaeckebrot_25k.ply,single
65,KoalaCandy_25k.ply,single
66,LetterP_25k.ply,special
67,LivioClassicOil_25k.ply,multi
68,LivioSunflowerOil_25k.ply,multi
69,Margarine_25k.ply,multi
70,Marjoram_25k.ply,single
71,MashedPotatoes_25k.ply,single
72,MelforBottle_25k.ply,multi
73,MilkDrinkVanilla_25k.ply,single
74,MilkRice_25k.ply,single
75,Moon_25k.ply,multi
76,MuesliBars_25k.ply,single
77,NutCandy_25k.ply,single
78,NutellaGo_25k.ply,single
79,OrangeMarmelade_25k.ply,single
80,OrgFruitTea_25k.ply,single
81,OrgHerbTea_25k.ply,single
82,Paprika_25k.ply,single
83,PatchesSensitive_25k.ply,single
84,Patches_25k.ply,single
85,Peanuts2_25k.ply,single
86,Peanuts_25k.ply,single
87,Peas_25k.ply,single
88,PineappleSlices_25k.ply,single
89,Pitcher_25k.ply,special
90,Pliers_25k.ply,multi
91,Pony_25k.ply,multi
92,PotatoeDumplings_25k.ply,single
93,PotatoeStarch_25k.ply,single
94,PotatoeSticks_25k.ply,single
95,PowderedSugarMill_25k.ply,single
96,PowderedSugar_25k.ply,single
97,RavioliLarge_25k.ply,single
98,RedCup_25k.ply,special
99,Rice_25k.ply,single
100,RuskWholemeal_25k.ply,single
101,Rusk_25k.ply,single
102,SardinesCan_25k.ply,single
103,SauceThickener_25k.ply,single
104,SauerkrautSmall_25k.ply,single
105,Sauerkraut_25k.ply,single
106,Seal_25k.ply,multi
107,Shampoo_25k.ply,multi
108,ShowerGel_25k.ply,multi
109,Slotted_Screwdriver_25k.ply,multi
110,SmacksCereals_25k.ply,single
111,SmallGlass_25k.ply,multi
112,SoftCakeOrange_25k.ply,single
113,SoftCheese_25k.ply,single
114,Sprayflask_25k.ply,multi
115,Sprudelflasche_25k.ply,multi
116,StrawberryPorridge_25k.ply,single
117,Sweetener_25k.ply,special
118,TomatoHerbSauce_25k.ply,single
119,TomatoSauce_25k.ply,single
120,TomatoSoup_25k.ply,single
121,Toothpaste_25k.ply,multi
122,Tortoise_25k.ply,multi
123,ToyCarYelloq_25k.ply,multi
124,VitalisCereals_25k.ply,single
125,Wafflerolls_25k.ply,single
126,Waterglass_25k.ply,special
127,WhippedCream2_25k.ply,single
128,WhippedCream_25k.ply,single
129,WhiteCup_25k.ply,special
130,Wineglass_25k.ply,special
131,Wrench_25k.ply,special
132,YellowSaltCube2_25k.ply,single
133,YellowSaltCube_25k.ply,single
134,YellowSaltCylinderSmall_25k.ply,single
135,YellowSaltCylinder_25k.ply,single
