Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00276118404102101,-0.00285774223692806,0.0615605479553047,0,0,0,0.103375780582453,3.11593509491742E-05,-5.70146156440556E-08,1.42660749888158E-06,4.5003240518971E-05,-3.58111402378398E-07,3.85374175725486E-05,0,0,0,0,0,0,package://folding_hand_right/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://folding_hand_right/meshes/base_link.STL,,右手.STEP-1/手腕底座下.STEP-1;右手.STEP-1/手腕底座上.STEP-1;右手.STEP-1/HAND_COVER^right_hand_asm(2)_right_hand_asm.STEP-1;右手.STEP-1/HAND_BTM^right_hand_asm(2)_right_hand_asm.STEP-1;右手.STEP-1/kst A13_610 servo.STEP-1;右手.STEP-1/线盘.STEP-6;右手.STEP-1/手腕手指连接2.STEP-1;右手.STEP-1/大拇指-专利.STEP-1/扭簧0.5_3_3_60左_直.STEP-1;右手.STEP-1/中指直连杆.STEP-1;右手.STEP-1/中指.STEP-1/手指底座.STEP-1/手指旋转底座.STEP-1;右手.STEP-1/槽轴承3_10_4.STEP-1;右手.STEP-1/舵机(1).STEP-5;右手.STEP-1/中指.STEP-1/手指底座.STEP-1/手指底座_精简版.STEP-1;右手.STEP-1/手指线导.STEP-3;右手.STEP-1/线盘.STEP-3;右手.STEP-1/轴固定后.STEP-1;右手.STEP-1/轴固定2.STEP-1;右手.STEP-1/大拇指-专利.STEP-1/轴承2.5_5_1.STEP-1;右手.STEP-1/大拇指-专利.STEP-1/轴承2_4_1.2.STEP-1;右手.STEP-1/光轴2.5_22.STEP-1;右手.STEP-1/舵机(1).STEP-3,坐标系16,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
ff_1,0.0174276113143449,-0.0025880306270465,-0.051026172322912,0,0,0,0.00800116450103895,6.16375907626336E-07,-6.4465157640548E-09,1.25720337679154E-07,7.00497772286988E-07,1.88857364929768E-08,2.41679032104396E-07,0,0,0,0,0,0,package://folding_hand_right/meshes/ff_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://folding_hand_right/meshes/ff_1.STL,,右手.STEP-1/食指-专利.STEP-1/槽轴承3_10_4.STEP-2;右手.STEP-1/食指-专利.STEP-1/手指底座.STEP-1/手指旋转底座.STEP-1;右手.STEP-1/舵机(1).STEP-1;右手.STEP-1/手指线导.STEP-4;右手.STEP-1/食指-专利.STEP-1/手指底座.STEP-1/手指底座_精简版.STEP-1;右手.STEP-1/食指右连杆.STEP-1;右手.STEP-1/线盘.STEP-4,坐标系15,plam_base,ff_1_joint,revolute,-0.0079,0.003355,0.064,3.1416,0,3.1416,base_link,0,1,0,0,0,0,0,,,,,,,,
ff_2,0.0158422609179284,0.00109998639127984,-0.00505523801864458,0,0,0,0.00368074206825828,1.74635425164805E-07,2.38315368278493E-12,-3.49081105120789E-08,4.75377212779051E-07,1.16864797751418E-12,4.70138993869148E-07,0,0,0,0,0,0,package://folding_hand_right/meshes/ff_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://folding_hand_right/meshes/ff_2.STL,,右手.STEP-1/食指-专利.STEP-1/近指节.STEP-1,坐标系4,基准轴6,ff_2_joint,revolute,0.020121,-0.0025,-0.075996,-1.5708,1.5417,0,ff_1,0,1,0,0,0,0,0,,,,,,,,
ff_3,0.0178367732030435,0.000999402970096486,-0.0022372319913799,0,0,0,0.00404959762041178,9.09224979928097E-08,-4.82248654592416E-11,7.00619451923977E-08,6.26639694894412E-07,9.43528798856071E-12,6.23321071228333E-07,0,0,0,0,0,0,package://folding_hand_right/meshes/ff_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://folding_hand_right/meshes/ff_3.STL,,右手.STEP-1/食指-专利.STEP-1/食指远指节.STEP-1;右手.STEP-1/食指-专利.STEP-1/槽轴承3_10_4.STEP-1,坐标系5,基准轴7,ff_3_joint,revolute,0.035,0.0003,0,0,0,0,ff_2,0,1,0,0,0,0,0,,,,,,,,
mf_1,0.0158422601570955,0.00129998597816512,-0.0050552380419905,0,0,0,0.00368074201522147,1.74635406284412E-07,2.36816117250817E-12,-3.49080977696694E-08,4.75377216872989E-07,1.15571431970362E-12,4.70139016490944E-07,0,0,0,0,0,0,package://folding_hand_right/meshes/mf_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://folding_hand_right/meshes/mf_1.STL,,右手.STEP-1/中指.STEP-1/近指节.STEP-1,坐标系6,基准轴8,mf_1_joint,revolute,-0.009,0.000855,0.14055,1.5708,-1.5708,0,base_link,0,1,0,0,0,0,0,,,,,,,,
mf_2,0.0216169098719861,0.000904419663191184,-0.00217715663925655,0,0,0,0.00502242897630229,1.06662106139777E-07,-2.62438383107056E-11,6.43096806730193E-08,9.59144418477493E-07,1.02314537477542E-11,9.60297532986314E-07,0,0,0,0,0,0,package://folding_hand_right/meshes/mf_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://folding_hand_right/meshes/mf_2.STL,,右手.STEP-1/中指.STEP-1/中指远指节.STEP-1;右手.STEP-1/槽轴承3_10_4.STEP-3,坐标系7,基准轴9,mf_2_joint,revolute,0.035,0.0006,0,0,0,0,mf_1,0,1,0,0,0,0,0,,,,,,,,
rf_1,-0.0159906401844529,-0.0105600115967382,-0.051516391608172,0,0,0,0.00800969565306044,6.31281723456019E-07,-1.7553170210036E-08,-1.110391110627E-07,6.95805064467012E-07,-4.70356947692738E-08,2.40136855524572E-07,0,0,0,0,0,0,package://folding_hand_right/meshes/rf_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://folding_hand_right/meshes/rf_1.STL,,右手.STEP-1/槽轴承3_10_4.STEP-2;右手.STEP-1/无名指.STEP-1/手指底座.STEP-1/手指旋转底座.STEP-1;右手.STEP-1/无名指右连杆.STEP-1;右手.STEP-1/舵机(1).STEP-6;右手.STEP-1/无名指.STEP-1/手指底座.STEP-1/手指底座_精简版.STEP-1;右手.STEP-1/线盘.STEP-5;右手.STEP-1/手指线导.STEP-2,坐标系13,plam_base,rf_1_joint,revolute,-0.0079,0.012155,0.064,3.1416,0,3.1416,base_link,0,1,0,0,0,0,0,,,,,,,,
rf_2,0.0156935934157024,0.00109998713025121,-0.00549943217420239,0,0,0,0.0036807366322041,1.72904144168496E-07,2.35909662601054E-12,-2.65330974524355E-08,4.75376819501147E-07,1.019027089931E-12,4.71869255601023E-07,0,0,0,0,0,0,package://folding_hand_right/meshes/rf_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://folding_hand_right/meshes/rf_2.STL,,右手.STEP-1/无名指.STEP-1/近指节.STEP-1,坐标系8,基准轴10,rf_2_joint,revolute,-0.0161,-0.0113,-0.07655,1.5708,1.5708,0,rf_1,0,1,0,0,0,0,0,,,,,,,,
rf_3,0.018265888885159,0.000904759770016556,-0.00370738520761145,0,0,0,0.00499342460902789,1.15277519199432E-07,-1.4536149238844E-11,9.70157274743489E-08,7.52048559497963E-07,1.03136971593429E-11,7.39864170899251E-07,0,0,0,0,0,0,package://folding_hand_right/meshes/rf_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://folding_hand_right/meshes/rf_3.STL,,右手.STEP-1/槽轴承3_10_4.STEP-4;右手.STEP-1/无名指.STEP-1/无名指远指节.STEP-1,坐标系9,基准轴11,rf_3_joint,revolute,0.034986,0.0004,-0.00098578,0,0,0,rf_2,0,1,0,0,0,0,0,,,,,,,,
lf_1,-0.0312849510272932,-0.0140312936490971,-0.0502369136670625,0,0,0,0.00836089652615313,6.91312748704694E-07,-6.39699011750689E-08,-2.5850142077528E-07,9.37745860657525E-07,-8.6360796776642E-08,4.62303222321355E-07,0,0,0,0,0,0,package://folding_hand_right/meshes/lf_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://folding_hand_right/meshes/lf_1.STL,,右手.STEP-1/舵机(1).STEP-2;右手.STEP-1/小指.STEP-1/手指底座.STEP-1/手指底座_精简版.STEP-1;右手.STEP-1/小指.STEP-1/手指底座.STEP-1/手指旋转底座.STEP-1;右手.STEP-1/手指线导.STEP-1;右手.STEP-1/小拇指右连杆.STEP-1;右手.STEP-1/线盘.STEP-1;右手.STEP-1/小指.STEP-1/槽轴承3_10_4.STEP-1,坐标系12,plam_base,lf_1_joint,revolute,-0.0079,0.016555,0.064,3.1416,0,3.1416,base_link,0,1,0,0,0,0,0,,,,,,,,
